total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,Status
0.003119503,0.015692752,0.322841396,0.007130851,0.596887797,0.029773807,0.100230947,1,0.045200859,1,0.010194577,0.00215801,0.266621622,0.013388735,0.4915,0.005529354,0.5763,0.005625563,0.051423714,0.023904382,0.356367092,0.006291946,0.249001815,0,0,0,0,0,0,0.03125,0.066225166,0.03125,1,0.03125,1,0.023809524,0.068181818,0.711538462,0.206349206,0.004971839,0.843042071,0.000858014,0.156957929,0.044056885,1,0.003023178,0,0.029867314,0.160529568,0.169485936,0.230705272,0.023053714,0.014945507,0.001962299,0.389108911,0.032601075,0.622879177,0.000782779,0.055624913,0,0,0.012446414,0.115063301,0.040618292,0.003208348,0.00997741,0.33,0.051282051,0.003010321,0.6321,0.00416,0.179975176,0.007867475,0.036148484,0.011274935,0.091022444,0.093098501,0.654544148,0.076451435,0.286142552,GradStudent
0,0.002271319,0.716962645,0.000101869,0.194103194,0.006435891,0.010623557,0.538961039,0.00975161,0.933390083,0.0014576,0,0,0,0,0,0,0.006075608,0.236506587,0.027888446,0.375916373,0.008389262,0.473139746,0,0,0,0,0,0,0.0625,0.496688742,0.03125,0.5,0.0625,1,0.678571429,0.852272727,0.884615385,0.984126984,0,0.06828479,0.000562147,0.93171521,0.007783223,0.745630007,0.003694995,0.254369993,0.53705663,1,0,0.169711682,0,0.004551877,6.26E-05,0.1125,0.000817948,0.145758355,0.000130463,0.08406159,0.001824448,0.196460177,0,0.00858411,0.00209755,0,0.008596888,0,0.641025641,0.000493756,0.9394,0.00032,0.125362019,0.001808053,0.203112336,0.018647008,1,0.333987215,0.891586436,0.437627292,0.634531085,Research
0.008009851,0.0276688,0.219228414,0.014312637,0.453562654,0.042364409,0.082678984,0.544455544,0.0425023,0.472653756,0.017266956,0.000768105,0.039594595,0.006001847,0.619,0.002114165,0.619,0.084383438,0.558648534,0.12749004,0.103584035,0.086409396,0.181125227,0.224137931,0.388059701,0.224137931,1,0.216216216,0.6154,0.25,0.370860927,0.25,1,0.1875,0.75,0.583333333,0.715909091,0.5,0.746031746,0.010234997,0.604530744,0.005177668,0.395469256,0.043768617,0.495265841,0.037369835,0.504734159,0.117283844,0.195759057,0.331868194,0.070424616,0.10629157,0.002748285,0.00041751,0.034529703,0.010399626,0.061182519,0.001174168,0.034817589,0.016217312,0.156637168,0.063149285,0.334034741,0.138298976,0.009398192,0.037399598,0.41,0.371794872,0.007071865,0.6201,0.00784,0.141497724,0.033620016,0.544982979,0.048135299,0.412094763,0.163126555,0.500475738,0.27541704,0.537474413,Director
0.002134397,0.002684287,0.099938763,0.00580655,0.711220311,0.01055986,0.009699769,0.292707293,0.014474088,0.8295382,0.004165804,0.000182882,0.031486486,0.001846722,0.8,0.00081314,1,0.041854185,1,0.039840637,0.067607928,0.054110738,0.436479129,0.068965517,0.396588486,0.068965517,1,0.081081081,0.75,0.1875,0.993377483,0.1875,1,0.1875,1,0.904761905,0.954545455,1,0.968253968,0.003670616,0.909708738,0.00035504,0.090291262,0.014653599,0.903313911,0.002771246,0.096686089,0.03347498,0.195187739,0.195598417,0.049210217,0.017995192,0.00160039,0.003381834,0.932549505,0.008062631,0.449357326,0.010110894,1,0.013581999,0.547787611,0.003811273,0.019317731,0.007860768,0.001782416,0.006212349,0.26,0.243589744,0.002054664,0.6,0.0008,0.048200248,0.005766224,0.367644675,0.006938422,0.218204489,0.017083837,0.39513144,0.033695752,0.676371212,GradStudent
0.241468277,0.10138344,0.004286589,0.197524576,0.105487305,0.63327918,0.399538106,0.083916084,0.526709598,0.279846776,0.352092389,0.191550841,0.343108108,0.116805171,0.0483,0.193690031,0.2274,0.418091809,0.185295368,0.258964143,0.03068151,0.453020134,0.239745917,0.103448276,0.006396588,0.103448276,1,0.027027027,0.1667,0.96875,0.099337748,0.75,0.7742,0.90625,0.9355,0.619047619,0.477272727,0.769230769,0.746031746,0.247718003,0.38381877,0.232373739,0.61618123,0.728211781,0.613437728,0.42937521,0.386562272,0.229971381,0.071821353,0.614436777,0.102493912,0.080612356,0.008462836,0.03438198,0.098886139,0.381631222,0.27403599,0.080756686,0.083229297,0.275086154,0.163716814,0.245587376,0.644849883,0.358189093,0.393913861,0.494477912,0.59,0.294871795,0.165344674,0.5034,0.26928,0.168804303,0.512265442,0.546441887,0.500867303,0.261845387,0.323641926,0.430497624,0.891555408,0.683881463,PM
0.039791251,0.067313649,0.094427434,0.059338868,0.356920557,0.152149463,0.329792148,0.604395604,0.177246243,0.640136199,0.070948044,0.013643014,0.147162162,0.035087719,0.2038,0.023255814,0.3834,0.036228623,0.061835954,0.099601594,0.203909856,0.042365772,0.317967332,0.120689655,0.042643923,0.120689655,1,0.189189189,1,0.125,0.052980132,0.09375,0.75,0.125,1,0.071428571,0.113636364,0.5,0.301587302,0.055059235,0.727508091,0.017071511,0.272491909,0.211924666,0.900764749,0.038545516,0.099235251,0.069187408,0.017622985,0.196068678,0.154572106,0.025876512,0.029290644,0.011523287,0.199381188,0.131923347,0.458611825,0.006588389,0.040921071,0.015609163,0.018289086,0.042182709,0.161770751,0.075368633,0.038986292,0.066767068,0.35,0.076923077,0.033400229,0.6121,0.02,0.075506827,0.083952306,0.286594262,0.087597572,0.167082294,0.033220753,0.45457181,0.111277249,0.466003385,GradStudent
0.007259294,0.012801982,0.108022045,0.009168237,0.264373464,0.025587353,0.020323326,0.191308691,0.028273536,0.580123431,0.01208342,0.000292612,0.016621622,0.002308403,0.625,0.000975768,0.75,0.056705671,0.608159796,0.059760956,0.071952213,0.055369128,0.135027223,0.068965517,0.130063966,0.068965517,1,0.108108108,1,0.09375,0.225165563,0.09375,1,0.09375,1,0.630952381,0.829545455,0.788461538,0.841269841,0.008914352,0.555825243,0.005296015,0.444174757,0.029883732,0.656409323,0.0165435,0.343590677,0.154193045,0.04728761,0.301685667,0.081716524,0.080366076,0.002436522,0.002985199,0.271410891,0.008179481,0.129562982,0.006131768,0.200027743,0.011757551,0.199705015,0.007311582,0.026083291,0.012299926,0.003467609,0.017633032,0.16,0.269230769,0.00825051,0.7945,0.00224,0.044476624,0.01876466,0.496352731,0.017346054,0.217581047,0.087761667,0.509317772,0.227259852,0.713932534,GradStudent
0.001325202,0.003716705,0.201102266,0.001324301,0.156101556,0.008185454,0.01108545,0.438561439,0.010916897,0.789316876,0.0029152,0,0,0,0,0,0,0.022727273,0.679345516,0.007968127,0.033532446,0.02307047,0.170417423,0,0,0,0,0,0,0,0,0,0,0,0,0.80952381,0.863636364,1,0.841269841,0.001670227,0.49012945,0.001360987,0.50987055,0.010713943,0.830116533,0.003275109,0.169883467,0.154800104,0.094355481,0.148442321,0.148333548,0.004903252,0.006970852,0.000438386,0.177970297,0.007945782,0.580205656,0.000913242,0.133028159,0.011960268,0.611504425,0.001302653,0.00858411,0.003055524,0.002203714,0.005333835,0.47,0.294871795,0.001704256,0.7329,0.00016,0.014067025,0.005277561,0.47252391,0.00650477,0.271820449,0.151208426,0.843436539,0.14594583,0.968045522,GradStudent
0.059669286,0.142680157,0.14206981,0.103957622,0.451760852,0.154336416,0.31408776,0.55994006,0.20484514,0.813790168,0.08617091,0.001316752,0.009459459,0.012003693,0.7222,0.003577818,0.6111,0.055580558,0.097322567,0.115537849,0.14947054,0.063338926,0.291470054,0.24137931,0.057569296,0.24137931,1,0.351351351,0.9286,0.3125,0.132450331,0.3125,1,0.3125,1,0,0.113636364,0.557692308,0,0.089221208,0.837864078,0.015177964,0.162135922,0.225425195,0.979970867,0.020826335,0.020029133,0.062371,0.014354382,0.417799667,0.300847964,0.489543424,0.026335301,0.086382899,1,0.256952559,1,0.020808871,0.086419753,0.04338131,0.098525074,0.070539262,0.182966256,0.102067956,0.03833814,0.067331827,0.23,0.076923077,0.044183231,0.5417,0.04112,0.103847745,0.046422987,0.02950235,0.042497832,0.033665835,0.069124099,0.752874592,0.118316439,0.342316411,GradStudent
0.264653454,0.302911419,0.054623393,0.243111088,0.143488943,0.533022994,0.476674365,0.172827173,0.346703465,0.08427325,0.34146657,0.403986832,0.660405405,0.413665743,0.0811,0.398113514,0.2216,0.707920792,0.381640459,0.430278884,0.029188162,0.695469799,0.141560799,0,0,0,0,0,0,0.28125,0.033112583,0.25,0.8889,0.25,0.8889,0.452380952,0.488636364,0.557692308,0.619047619,0.270732181,0.380906149,0.255806385,0.619093851,0.545354089,0.464129643,0.479509573,0.535870357,0.163142832,0.060565276,0.421281467,0.051110048,0.071450895,0.009694823,0.041166524,0.108044554,0.180766534,0.093830334,0.081409002,0.076570953,0.18244476,0.122418879,0.265772622,0.535876283,0.342978732,0.245519655,0.407944277,0.34,0.282051282,0.270275866,0.7508,0.31216,0.1785271,0.605404613,0.88426001,0.634431917,0.440773067,0.206382253,0.37085382,0.420988293,0.288557021,Director
